dataset_category,dataset_name,dataset_path,dataset_size,num_triples,num_entities,num_predicates,encoding,repetition,success,status,error_message,total_runtime,rdf_parse_time,id_mapping_time,state_preparation_time,circuit_construction_time,simulation_time,measurement_time,qubits,circuit_depth,gate_count,operation_counts,logical_circuit_depth,logical_gate_count,logical_operation_counts,decomposed_circuit_depth,decomposed_gate_count,decomposed_operation_counts,transpiled_circuit_depth,transpiled_gate_count,transpiled_operation_counts,metric_status,metric_error,shots,backend,started_at_utc,finished_at_utc,entity_bit_width,predicate_bit_width,measurement_circuit_preparation_time,decoding_time,completed_total_runtime,phase_marker_mode,phase_requested_predicate,phase_effective_predicate,phase_marked_triples,phase_total_triples,phase_marked_fraction,phase_warning,max_basis_simulation_qubits,max_phase_diagonal_qubits,max_metric_qubits,timeout_seconds,weight_strategy,phase_mark_predicate,phase_angle,decompose_reps,compute_decomposed_metrics,compute_transpiled_metrics,rdf_format
real,productsSmall,data\real_kgs\productsSmall.rdf,129,129,71,16,amplitude,1,True,success,,0.040345,0.008883,0.0002663,0.0002386,0.0004693,0.0007326,0.0016737,8,1,1,"{""initialize"": 1}",1,1,"{""initialize"": 1}",2,9,"{""reset"": 8, ""state_preparation"": 1}",10,30,"{""cx"": 7, ""reset"": 8, ""u"": 15}",success,,1024,Qiskit Statevector,2026-05-20T13:53:54+00:00,2026-05-20T13:53:54+00:00,7,4,0.0,1.5e-05,0.040345,,,,,,,,22,10,14,600.0,uniform,,3.141592653589793,1,True,True,
real,productsSmall,data\real_kgs\productsSmall.rdf,129,129,71,16,amplitude,2,True,success,,0.0415622,0.0090367,0.0002764,0.0002465,0.0004692,0.0007842,0.0016972,8,1,1,"{""initialize"": 1}",1,1,"{""initialize"": 1}",2,9,"{""reset"": 8, ""state_preparation"": 1}",10,30,"{""cx"": 7, ""reset"": 8, ""u"": 15}",success,,1024,Qiskit Statevector,2026-05-20T13:53:55+00:00,2026-05-20T13:53:56+00:00,7,4,0.0,1.57e-05,0.0415622,,,,,,,,22,10,14,600.0,uniform,,3.141592653589793,1,True,True,
real,productsSmall,data\real_kgs\productsSmall.rdf,129,129,71,16,amplitude,3,True,success,,0.0410093,0.009134,0.000306,0.0002387,0.0004689,0.0007499,0.0017186,8,1,1,"{""initialize"": 1}",1,1,"{""initialize"": 1}",2,9,"{""reset"": 8, ""state_preparation"": 1}",10,30,"{""cx"": 7, ""reset"": 8, ""u"": 15}",success,,1024,Qiskit Statevector,2026-05-20T13:53:57+00:00,2026-05-20T13:53:57+00:00,7,4,0.0,1.53e-05,0.0410093,,,,,,,,22,10,14,600.0,uniform,,3.141592653589793,1,True,True,
real,productsSmall,data\real_kgs\productsSmall.rdf,129,129,71,16,amplitude,4,True,success,,0.041649,0.0090434,0.0002765,0.0002387,0.0004686,0.0007599,0.0016667,8,1,1,"{""initialize"": 1}",1,1,"{""initialize"": 1}",2,9,"{""reset"": 8, ""state_preparation"": 1}",10,30,"{""cx"": 7, ""reset"": 8, ""u"": 15}",success,,1024,Qiskit Statevector,2026-05-20T13:53:58+00:00,2026-05-20T13:53:58+00:00,7,4,0.0,1.47e-05,0.041649,,,,,,,,22,10,14,600.0,uniform,,3.141592653589793,1,True,True,
real,productsSmall,data\real_kgs\productsSmall.rdf,129,129,71,16,amplitude,5,True,success,,0.0410272,0.0089239,0.000276,0.0002432,0.000466,0.0007584,0.0016658,8,1,1,"{""initialize"": 1}",1,1,"{""initialize"": 1}",2,9,"{""reset"": 8, ""state_preparation"": 1}",10,30,"{""cx"": 7, ""reset"": 8, ""u"": 15}",success,,1024,Qiskit Statevector,2026-05-20T13:53:59+00:00,2026-05-20T13:53:59+00:00,7,4,0.0,1.42e-05,0.0410272,,,,,,,,22,10,14,600.0,uniform,,3.141592653589793,1,True,True,
real,productsSmall,data\real_kgs\productsSmall.rdf,129,129,71,16,phase,1,True,success,,1.035904,0.0087903,0.0002719,0.0018546,0.0368434,0.051626,0.0030593,8,3,10,"{""h"": 8, ""initialize"": 1, ""unitary"": 1}",3,10,"{""h"": 8, ""initialize"": 1, ""unitary"": 1}",971,1045,"{""cx"": 770, ""reset"": 8, ""rz"": 252, ""state_preparation"": 1, ""u"": 14}",979,1066,"{""cx"": 777, ""reset"": 8, ""u"": 281}",success,,1024,Qiskit Statevector,2026-05-20T13:54:00+00:00,2026-05-20T13:54:01+00:00,7,4,0.0,3.12e-05,1.035904,most-common-predicate,,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,59,129,0.457364341,,22,10,14,600.0,uniform,,3.141592653589793,1,True,True,
real,productsSmall,data\real_kgs\productsSmall.rdf,129,129,71,16,phase,2,True,success,,1.0567074,0.0089895,0.0003084,0.001864,0.0343867,0.0529832,0.0030969,8,3,10,"{""h"": 8, ""initialize"": 1, ""unitary"": 1}",3,10,"{""h"": 8, ""initialize"": 1, ""unitary"": 1}",971,1045,"{""cx"": 770, ""reset"": 8, ""rz"": 252, ""state_preparation"": 1, ""u"": 14}",979,1066,"{""cx"": 777, ""reset"": 8, ""u"": 281}",success,,1024,Qiskit Statevector,2026-05-20T13:54:02+00:00,2026-05-20T13:54:03+00:00,7,4,0.0,3.2e-05,1.0567074,most-common-predicate,,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,59,129,0.457364341,,22,10,14,600.0,uniform,,3.141592653589793,1,True,True,
real,productsSmall,data\real_kgs\productsSmall.rdf,129,129,71,16,phase,3,True,success,,1.0540413,0.009269,0.0002718,0.0018229,0.04097,0.0540678,0.0031152,8,3,10,"{""h"": 8, ""initialize"": 1, ""unitary"": 1}",3,10,"{""h"": 8, ""initialize"": 1, ""unitary"": 1}",971,1045,"{""cx"": 770, ""reset"": 8, ""rz"": 252, ""state_preparation"": 1, ""u"": 14}",979,1066,"{""cx"": 777, ""reset"": 8, ""u"": 281}",success,,1024,Qiskit Statevector,2026-05-20T13:54:04+00:00,2026-05-20T13:54:05+00:00,7,4,0.0,3.27e-05,1.0540413,most-common-predicate,,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,59,129,0.457364341,,22,10,14,600.0,uniform,,3.141592653589793,1,True,True,
real,productsSmall,data\real_kgs\productsSmall.rdf,129,129,71,16,phase,4,True,success,,1.0379423,0.009179,0.0003143,0.00184,0.034566,0.0514763,0.0030774,8,3,10,"{""h"": 8, ""initialize"": 1, ""unitary"": 1}",3,10,"{""h"": 8, ""initialize"": 1, ""unitary"": 1}",971,1045,"{""cx"": 770, ""reset"": 8, ""rz"": 252, ""state_preparation"": 1, ""u"": 14}",979,1066,"{""cx"": 777, ""reset"": 8, ""u"": 281}",success,,1024,Qiskit Statevector,2026-05-20T13:54:06+00:00,2026-05-20T13:54:07+00:00,7,4,0.0,3.49e-05,1.0379423,most-common-predicate,,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,59,129,0.457364341,,22,10,14,600.0,uniform,,3.141592653589793,1,True,True,
real,productsSmall,data\real_kgs\productsSmall.rdf,129,129,71,16,phase,5,True,success,,1.0433071,0.0091707,0.0003118,0.0019209,0.0329928,0.0519575,0.0030067,8,3,10,"{""h"": 8, ""initialize"": 1, ""unitary"": 1}",3,10,"{""h"": 8, ""initialize"": 1, ""unitary"": 1}",971,1045,"{""cx"": 770, ""reset"": 8, ""rz"": 252, ""state_preparation"": 1, ""u"": 14}",979,1066,"{""cx"": 777, ""reset"": 8, ""u"": 281}",success,,1024,Qiskit Statevector,2026-05-20T13:54:08+00:00,2026-05-20T13:54:09+00:00,7,4,0.0,3.29e-05,1.0433071,most-common-predicate,,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,59,129,0.457364341,,22,10,14,600.0,uniform,,3.141592653589793,1,True,True,
